12:31:23.58 25:48:06.59 22.247±0.021 21.747±0.018 21.484±0.020 — —
12:31:29.29 25:48:07.45 24.739±0.044 24.074±0.044 23.689±0.048 — —
12:31:25.85 25:48:07.96 22.626±0.021 22.037±0.018 21.745±0.019 — —
12:31:31.01 25:48:08.68 24.468±0.033 23.840±0.030 23.549±0.037 — —
12:31:17.06 25:48:09.25 23.601±0.023 22.857±0.018 22.522±0.020 — —
12:31:16.69 25:48:10.08 22.983±0.020 22.478±0.017 22.242±0.019 — —
12:31:25.70 25:48:21.92 23.831±0.027 23.270±0.026 23.052±0.031 — —
12:31:36.91 25:48:25.27 24.108±0.024 23.419±0.021 23.145±0.022 — —
12:31:30.86 25:48:30.49 22.787±0.020 22.251±0.016 21.965±0.017 — —
12:31:28.33 25:48:32.98 23.326±0.021 22.685±0.017 22.355±0.019 — —
12:31:10.06 25:48:38.59 24.460±0.028 23.890±0.029 23.717±0.030 — —
12:31:36.68 25:48:39.93 23.938±0.023 23.347±0.020 23.095±0.021 — —
12:31:26.96 25:48:39.96 23.688±0.023 22.990±0.020 22.618±0.021 — —
12:31:14.76 25:48:40.10 24.662±0.030 24.105±0.028 23.890±0.035 — —
12:31:44.48 25:48:40.39 24.053±0.025 23.563±0.025 23.252±0.023 — —
12:31:38.88 25:48:43.49 24.842±0.056 24.268±0.031 23.881±0.034 — —
12:31:13.40 25:48:51.05 24.391±0.028 23.747±0.026 23.457±0.029 — —
12:30:57.19 25:48:51.58 22.465±0.019 21.973±0.015 21.707±0.016 — —
12:31:34.04 25:48:57.39 23.492±0.021 22.889±0.017 22.580±0.018 — —
12:31:06.24 25:49:12.00 23.531±0.021 22.892±0.017 22.586±0.018 — —
12:31:28.09 25:49:27.98 23.171±0.020 22.518±0.016 22.217±0.018 — —
12:30:56.25 25:49:29.38 23.728±0.021 23.154±0.018 22.895±0.019 — —
12:31:50.02 25:49:38.96 24.340±0.024 23.850±0.023 23.675±0.026 — —
12:31:43.03 25:49:39.54 24.833±0.034 24.139±0.031 23.868±0.030 — —
12:31:15.76 25:49:58.83 22.170±0.019 21.613±0.015 21.337±0.016 — —
12:31:00.75 25:49:59.09 24.497±0.027 23.924±0.026 23.706±0.027 — —
12:31:30.35 25:50:01.86 23.965±0.023 23.370±0.020 23.068±0.022 — —
12:31:20.98 25:50:02.01 24.623±0.030 24.102±0.028 23.706±0.031 — —
12:31:27.85 25:50:03.41 24.117±0.024 23.433±0.020 23.215±0.023 — —
12:31:17.82 25:50:14.85 23.480±0.020 22.984±0.017 22.744±0.019 — —
12:31:41.63 25:50:15.11 24.544±0.030 24.016±0.029 23.660±0.027 — —
12:31:00.90 25:50:21.66 24.297±0.024 23.691±0.022 23.410±0.023 — —
12:31:08.34 25:50:26.49 23.686±0.021 23.150±0.018 22.916±0.020 — —
12:31:08.30 25:50:27.96 24.034±0.023 23.481±0.021 23.232±0.023 — —
12:31:46.30 25:50:33.00 24.220±0.026 23.493±0.022 23.233±0.022 — —
12:31:34.20 25:50:46.28 23.609±0.022 23.003±0.017 22.742±0.019 — —
12:31:15.40 25:50:46.14 24.600±0.027 23.901±0.025 23.528±0.025 — —
12:31:16.59 25:50:53.52 23.657±0.021 23.081±0.018 22.852±0.019 — —
12:31:21.07 25:50:54.93 22.631±0.019 22.087±0.015 21.841±0.017 — —
12:31:12.27 25:51:02.16 21.723±0.019 21.098±0.015 20.822±0.016 — —
12:31:50.12 25:51:05.43 23.558±0.021 22.841±0.016 22.511±0.018 — —
12:31:17.40 25:51:10.23 22.119±0.019 21.516±0.015 21.291±0.016 — —
12:30:56.33 25:51:20.84 24.087±0.023 23.345±0.019 23.040±0.020 — —
12:31:19.52 25:51:22.89 22.756±0.019 22.232±0.015 21.970±0.017 — —
